year,stateabbrev,WRLURI,planner,luPcCum,roll2005t
1988,"AZ",.7824563,7,1.011646,
1989,"AZ",.7824563,7,1.046278,
1990,"AZ",.7824563,7,1.063036,
1991,"AZ",.7824563,7,1.105459,
1992,"AZ",.7824563,7,1.156535,
1993,"AZ",.7824563,7,1.104683,
1994,"AZ",.7824563,7,1.063032,
1995,"AZ",.7824563,7,.9285352,
1996,"AZ",.7824563,7,.8210004,
1997,"AZ",.7824563,7,.8523965,
1998,"AZ",.7824563,7,.8777334,
1999,"AZ",.7824563,7,.787208,
2000,"AZ",.7824563,7,.7018564,
2001,"AZ",.7824563,7,.6498302,
2002,"AZ",.7824563,7,.6728796,
2003,"AZ",.7824563,7,.6781274,
2004,"AZ",.7824563,7,.7076455,
2005,"AZ",.7824563,7,.6850849,4
2006,"AZ",.7824563,7,.7575856,
2007,"AZ",.7824563,7,.7557344,
2008,"AZ",.7824563,7,.9126631,
2009,"AZ",.7824563,7,1.066173,
2010,"AZ",.7824563,7,1.051029,
1880,"CA",.556469,12,,
1900,"CA",.556469,12,,
1920,"CA",.556469,12,,
1929,"CA",.556469,12,,
1930,"CA",.556469,12,,
1931,"CA",.556469,12,,
1932,"CA",.556469,12,,
1933,"CA",.556469,12,,
1934,"CA",.556469,12,,
1935,"CA",.556469,12,,
1936,"CA",.556469,12,,
1937,"CA",.556469,12,,
1938,"CA",.556469,12,,
1939,"CA",.556469,12,,
1940,"CA",.556469,12,.1438849,
1941,"CA",.556469,12,.1407277,
1942,"CA",.556469,12,.1791354,
1943,"CA",.556469,12,.1633438,
1944,"CA",.556469,12,.130675,
1945,"CA",.556469,12,.1435495,
1946,"CA",.556469,12,.1230424,
1947,"CA",.556469,12,.1202731,
1948,"CA",.556469,12,.1289903,
1949,"CA",.556469,12,.1451133,
1950,"CA",.556469,12,.1494566,
1951,"CA",.556469,12,.1626441,
1952,"CA",.556469,12,.1628332,
1953,"CA",.556469,12,.1838868,
1954,"CA",.556469,12,.2074235,
1955,"CA",.556469,12,.2094746,
1956,"CA",.556469,12,.2532287,
1957,"CA",.556469,12,.2711825,
1958,"CA",.556469,12,.3050732,
1959,"CA",.556469,12,.3083781,
1960,"CA",.556469,12,.346357,
1961,"CA",.556469,12,.3315359,
1962,"CA",.556469,12,.3701847,
1963,"CA",.556469,12,.3771539,
1964,"CA",.556469,12,.3811638,
1965,"CA",.556469,12,.3690819,
1966,"CA",.556469,12,.3571446,
1967,"CA",.556469,12,.3916802,
1968,"CA",.556469,12,.3843229,
1969,"CA",.556469,12,.3773625,
1970,"CA",.556469,12,.3855765,
1971,"CA",.556469,12,.4226038,
1972,"CA",.556469,12,.4164662,
1973,"CA",.556469,12,.4439358,
1974,"CA",.556469,12,.553359,
1975,"CA",.556469,12,.6586785,
1976,"CA",.556469,12,.7681915,
1977,"CA",.556469,12,.8577369,
1978,"CA",.556469,12,.9251714,
1979,"CA",.556469,12,1.037409,
1980,"CA",.556469,12,1.094329,
1981,"CA",.556469,12,1.181059,
1982,"CA",.556469,12,1.25975,
1983,"CA",.556469,12,1.291242,
1984,"CA",.556469,12,1.301306,
1985,"CA",.556469,12,1.381888,
1986,"CA",.556469,12,1.388148,
1987,"CA",.556469,12,1.300825,
1988,"CA",.556469,12,1.285354,
1989,"CA",.556469,12,1.298341,
1990,"CA",.556469,12,1.313347,
1991,"CA",.556469,12,1.354685,
1992,"CA",.556469,12,1.317781,
1993,"CA",.556469,12,1.375876,
1994,"CA",.556469,12,1.362241,
1995,"CA",.556469,12,1.272845,
1996,"CA",.556469,12,1.225197,
1997,"CA",.556469,12,1.295838,
1998,"CA",.556469,12,1.279318,
1999,"CA",.556469,12,1.233207,
2000,"CA",.556469,12,1.178737,
2001,"CA",.556469,12,1.12623,
2002,"CA",.556469,12,1.358795,
2003,"CA",.556469,12,1.480109,
2004,"CA",.556469,12,1.641865,
2005,"CA",.556469,12,1.858367,26
2006,"CA",.556469,12,2.055473,
