statefip,skill,basePop,netMig,lr,lincShared
"Illinois",1,26049,.01146,10.22035,10.01435
"Illinois",0,51355,5.464077,8.969366,9.273238
"Illinois",1,8161,4.667653,9.430642,9.273238
"Illinois",1,11152,-.9679043,9.38847,9.43072
"Illinois",0,40506,-.0232297,9.152804,9.43072
"Illinois",0,79478,-.5733957,9.330514,9.560741
"Illinois",1,13477,-.8358884,9.822202,9.560741
"Illinois",0,53781,-2.248595,9.151794,9.439151
"Illinois",1,10259,-.6605247,9.800178,9.439151
"Indiana",0,52499,7.126652,9.825762,10.05396
"Indiana",1,18025,2.471499,9.943013,10.05396
"Indiana",0,108535,2.678884,10.05388,10.30016
"Indiana",1,37160,.0960912,10.31755,10.30016
"Indiana",1,21428,-1.735573,10.20511,10.14667
"Indiana",0,59237,-2.313271,9.873342,10.14667
"Indiana",1,14416,2.352941,9.244336,9.203376
"Indiana",0,36584,3.05098,8.687243,9.203376
"Indiana",1,42390,.2609774,9.470646,9.524721
"Indiana",0,95553,.5842993,9.148044,9.524721
"Indiana",1,23920,.3247702,9.502094,9.522545
"Indiana",0,68453,.9634849,9.109756,9.522545
"Indiana",0,51895,-.4570591,9.909799,10.16474
"Indiana",1,23150,-.117263,10.09937,10.16474
"Indiana",1,53377,1.148641,9.882552,9.928336
"Indiana",0,137196,1.181175,9.617936,9.928336
"Indiana",1,32014,.5087334,9.332164,9.379292
"Indiana",0,78653,2.811136,8.984138,9.379292
"Indiana",1,77995,.2713141,10.2563,10.17343
"Indiana",0,157894,1.752519,9.781004,10.17343
"Indiana",1,43183,-.3455044,9.696625,9.520698
"Indiana",0,141764,-1.376611,9.152637,9.520698
"Indiana",1,14770,4.072855,10.01627,10.02117
"Indiana",0,46612,6.962954,9.679797,10.02117
"Indiana",1,17746,-2.001423,9.58074,9.328274
"Indiana",0,66594,-2.909651,8.960691,9.328274
"Indiana",1,12990,-1.67041,9.338065,9.18403
"Indiana",0,48013,-.9851974,8.682143,9.18403
"Indiana",1,6678,.3409711,10.01455,9.785374
"Indiana",0,22650,4.337152,9.469975,9.785374
"Iowa",1,22600,-3.013479,9.451228,9.156572
"Iowa",0,57009,-1.448329,8.168159,9.156572
"Iowa",1,23845,-.8986286,8.577682,8.903971
"Iowa",0,55053,-2.214251,8.006392,8.903971
"Iowa",0,33089,-.5072804,9.441609,9.90933
"Iowa",1,20136,-3.006106,9.989053,9.90933
"Iowa",0,143161,-.1375698,8.943144,9.430229
"Iowa",1,60372,-.0108091,9.386256,9.430229
"Iowa",1,13383,-2.327173,9.373382,9.029186
"Iowa",0,33369,1.067334,8.391442,9.029186
"Iowa",0,89815,-2.066119,8.732674,9.344326
"Iowa",1,39074,-1.541637,9.650923,9.344326
"Iowa",1,41207,-1.598442,10.21708,10.10107
"Iowa",0,53260,.5864482,9.653881,10.10107
"Iowa",0,42852,-1.935842,8.367666,8.829186
"Iowa",1,18465,-.8154346,8.428554,8.829186
"Iowa",0,63520,-1.174416,8.904972,9.281616
"Iowa",1,20096,-2.126387,9.347132,9.281616
"Iowa",0,75267,-1.775262,8.707542,9.272702
"Iowa",1,38350,-1.507697,9.340367,9.272702
"Iowa",1,59124,-.24169,9.640706,9.675926
"Iowa",0,133685,.2448018,9.151611,9.675926
"Iowa",0,31913,-1.590873,9.778811,10.08297
"Iowa",1,12088,-1.245426,9.940217,10.08297
"Kansas",1,14477,-5.868521,9.224542,9.104784
"Kansas",0,25073,-7.785082,7.042887,9.104784
"Kansas",0,48053,-4.942733,8.276368,9.028514
"Kansas",1,22232,-4.002276,9.135257,9.028514
"Kansas",1,26453,-3.2294,9.259079,8.833915
"Kansas",0,58826,-3.255198,7.72506,8.833915
"Kansas",1,28076,-.3832054,9.497053,9.422951
"Kansas",0,50211,-1.466399,8.774966,9.422951
"Kansas",1,30123,-1.682856,9.767325,9.732501
"Kansas",0,43383,-1.482872,9.175538,9.732501
"Kansas",0,38617,-4.568423,8.459726,9.13157
"Kansas",1,19368,-1.936708,9.041179,9.13157
"Kansas",0,65798,-3.553616,8.794273,9.314723
"Kansas",1,32243,-1.585051,9.545844,9.314723
"Kansas",1,44730,-3.153534,9.828085,9.553057
"Kansas",0,79353,-4.009413,8.863658,9.553057
"Kansas",1,25147,-2.217744,9.862617,9.923575
"Kansas",0,63682,.9152416,9.676192,9.923575
"Kansas",0,51758,-4.44978,8.586957,9.1104
"Kansas",1,19886,-1.362291,9.083055,9.1104
"Kansas",1,28727,-1.283017,9.635879,9.407156
"Kansas",0,70804,-4.654831,9.017883,9.407156
"Kentucky",1,10934,-.1448394,9.757616,9.18391
"Kentucky",0,58108,1.984299,8.792713,9.18391
"Kentucky",0,49381,-2.976982,8.756398,9.211987
