skill,basePop,netMig,lr,lincShared
1,12322,3.598236,11.35776,11.08863
1,,,,
0,,,,
1,32697,-.5834187,11.28043,11.027
0,113853,.3718867,10.6986,11.027
1,13177,5.160858,11.21451,11.05447
0,42027,13.01536,10.68826,11.05447
0,66431,.0800756,10.68106,11.0621
1,23484,.6428294,11.22462,11.0621
1,8543,1.613044,11.10061,10.89779
0,48864,7.319665,10.62475,10.89779
1,15282,.4567662,11.28629,10.99948
0,63314,-.5992671,10.59092,10.99948
0,44913,6.803238,10.66488,10.91924
1,6342,2.261243,11.09885,10.91924
0,84111,-1.225037,10.75686,11.22479
1,66660,-7.894754,11.33735,11.22479
1,5291,.6865841,10.97034,10.80941
0,45686,13.07845,10.57266,10.80941
1,4924,.8625751,11.20699,10.93261
0,44463,7.744953,10.69797,10.93261
1,55899,-11.90656,11.24168,11.11853
0,60919,-.3946309,10.65381,11.11853
0,345983,-.557421,10.86677,11.19607
1,101614,.5922738,11.4461,11.19607
0,40339,9.286798,10.93952,11.35513
1,17022,9.037499,11.47817,11.35513
0,53226,10.87892,10.98689,11.2351
1,14152,3.471459,11.33898,11.2351
1,6992,3.564947,11.31299,10.97874
0,42602,16.379,10.73205,10.97874
0,92778,12.3024,10.6469,10.93314
1,15713,1.98634,11.29605,10.93314
1,7189,6.297271,11.27514,10.91037
0,53631,25.17593,10.62813,10.91037
1,6709,1.877644,11.24142,10.91069
0,43407,15.39628,10.66826,10.91069
1,12592,6.796257,11.40477,11.04764
0,70336,16.78203,10.68744,11.04764
0,165954,6.98828,10.70467,11.01665
1,39261,1.347855,11.28487,11.01665
0,123794,6.283383,10.98443,11.38689
1,61743,4.207247,11.54702,11.38689
1,60632,1.522693,11.35851,11.15594
0,173033,5.845548,10.7847,11.15594
1,129979,1.041577,11.41036,11.18618
0,345550,.7824969,10.776,11.18618
1,12361,3.022503,11.08905,10.99056
0,66117,11.95112,10.71623,10.99056
0,186258,5.566002,10.82442,11.061
1,34978,1.476252,11.26632,11.061
1,20097,3.960277,11.26707,10.98865
0,112520,19.37308,10.71397,10.98865
1,112651,2.548926,11.35904,11.16272
0,335577,4.072481,10.79162,11.16272
1,139329,.7123073,11.45835,11.2226
0,386708,.6950082,10.84665,11.2226
1,20519,6.666667,11.33668,11.11914
0,86941,12.36181,10.80531,11.11914
1,36858,4.239247,11.22195,11.12725
0,103733,7.466339,10.75207,11.12725
0,43412,19.62362,10.68235,11.03849
1,8291,6.264627,11.408,11.03849
0,69337,4.988835,10.55703,10.8148
1,9479,1.290347,11.09214,10.8148
1,11004,3.662454,11.50628,11.11549
0,49693,7.308434,10.67234,11.11549
0,73507,8.159245,10.73889,10.99644
1,13278,1.818287,11.1504,10.99644
1,13119,6.51998,11.50573,11.21051
0,38783,10.74525,10.74932,11.21051
0,367474,4.735454,10.87057,11.3159
1,150280,3.226822,11.52917,11.3159
0,605442,3.038759,10.8828,11.27792
1,215880,2.980317,11.4485,11.27792
1,22380,9.96273,11.29985,11.20441
0,81728,9.625581,10.76081,11.20441
0,148700,12.17021,10.77942,11.14252
1,38807,4.679825,11.40453,11.14252
0,1006935,-5.366271,10.71513,11.18193
